timestamp,bias_float64,drift_float64,t_seconds
2024-01-14 00:43:30,7.971038552310000204e-04,,2610.0
2024-01-14 00:44:00,7.971035616440000403e-04,,2640.0
2024-01-14 00:44:30,7.971032386250000374e-04,,2670.0
2024-01-14 00:45:00,7.971029097049999682e-04,4.917973060809999777e-12,2700.0
2024-01-14 00:45:30,7.971025637099999565e-04,,2730.0
2024-01-14 00:46:00,7.971022577159999614e-04,,2760.0
2024-01-14 00:46:30,7.971019374759999703e-04,,2790.0
2024-01-14 00:47:00,7.971016238719999970e-04,,2820.0
2024-01-14 00:47:30,7.971012903839999782e-04,,2850.0
2024-01-14 00:48:00,7.971009317479999575e-04,,2880.0
2024-01-14 00:48:30,7.971006065580000296e-04,,2910.0
2024-01-14 00:49:00,7.971002618969999856e-04,,2940.0
2024-01-14 00:49:30,7.970999495320000173e-04,,2970.0
2024-01-14 00:50:00,7.970996682420000441e-04,4.964035604610000141e-12,3000.0
2024-01-14 00:50:30,7.970993739650000321e-04,,3030.0
2024-01-14 00:51:00,7.970990696840000046e-04,,3060.0
2024-01-14 00:51:30,7.970987607950000145e-04,,3090.0
2024-01-14 00:52:00,7.970984458919999627e-04,,3120.0
2024-01-14 00:52:30,7.970981405310000219e-04,,3150.0
2024-01-14 00:53:00,7.970978258330000494e-04,,3180.0
2024-01-14 00:53:30,7.970975252979999514e-04,,3210.0
2024-01-14 00:54:00,7.970971926630000034e-04,,3240.0
2024-01-14 00:54:30,7.970968744980000149e-04,,3270.0
2024-01-14 00:55:00,7.970965342939999526e-04,5.066703822240000002e-12,3300.0
2024-01-14 00:55:30,7.970962049300000119e-04,,3330.0
2024-01-14 00:56:00,7.970959265570000136e-04,,3360.0
2024-01-14 00:56:30,7.970955771649999811e-04,,3390.0
2024-01-14 00:57:00,7.970952936549999994e-04,,3420.0
2024-01-14 00:57:30,7.970949582859999591e-04,,3450.0
2024-01-14 00:58:00,7.970946405090000410e-04,,3480.0
2024-01-14 00:58:30,7.970943246080000209e-04,,3510.0
2024-01-14 00:59:00,7.970940214479999876e-04,,3540.0
2024-01-14 00:59:30,7.970936725250000110e-04,,3570.0
2024-01-14 01:00:00,7.970933547070000120e-04,5.106860739640000188e-12,3600.0
2024-01-14 01:00:30,7.970930262980000392e-04,,3630.0
2024-01-14 01:01:00,7.970927107019999680e-04,,3660.0
2024-01-14 01:01:30,7.970924204180000056e-04,,3690.0
2024-01-14 01:02:00,7.970921053369999778e-04,,3720.0
